n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
1000000,200000,4,0.1,1,"Projection to 2/eps alphabet",3,0.243011,0.243215,0.243267,0,0,0
1000000,200000,4,0.1,2,"Sqrt",3,0.245534,0.245428,0.246548,0,0,0
1000000,200000,4,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,2.20518,2.19498,2.23445,0,0,0
1000000,200000,4,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,2.44698,2.44965,2.45974,0,0,0
1000000,200000,4,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,2.22668,2.18848,2.30703,0,0,0
1000000,200000,10,0.1,0,"Brute force",3,14.6404,14.649,14.7171,0,0,0
1000000,200000,10,0.1,1,"Projection to 2/eps alphabet",3,0.618892,0.614256,0.629382,0,0,0
1000000,200000,10,0.1,2,"Sqrt",3,0.636317,0.644281,0.650506,0,0,0
1000000,200000,10,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,5.4542,5.45437,5.45537,0,0,0
1000000,200000,10,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,5.62161,5.62282,5.63121,0,0,0
1000000,200000,10,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,5.70339,5.70824,5.72801,0,0,0
1000000,200000,20,0.1,0,"Brute force",3,14.3294,14.3137,14.4318,0,0,0
1000000,200000,20,0.1,1,"Projection to 2/eps alphabet",3,1.25761,1.25717,1.26134,0,0,0
1000000,200000,20,0.1,2,"Sqrt",3,0.436162,0.436585,0.44249,0,0,0
1000000,200000,20,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,11.4565,11.5014,11.5985,0.000668298,0.00088281,0.00112208
1000000,200000,20,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.413,11.3667,11.555,0,0,0
1000000,200000,20,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,10.9953,10.9327,11.1754,0.000360401,0,0.0010812
1000000,200000,40,0.1,0,"Brute force",3,14.4432,14.5176,14.5226,0,0,0
1000000,200000,40,0.1,1,"Projection to 2/eps alphabet",3,2.47353,2.49502,2.50783,0,0,0
1000000,200000,40,0.1,2,"Sqrt",3,0.259368,0.259088,0.264429,0,0,0
1000000,200000,40,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,11.033,10.9237,11.2759,0.00509236,0.00479089,0.00610518
1000000,200000,40,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.333,11.3258,11.4011,0.00597101,0.00623762,0.00705558
1000000,200000,40,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,11.2153,11.2271,11.2619,0.00474805,0.00508224,0.00528333
1000000,200000,80,0.1,0,"Brute force",3,14.6323,14.6581,14.6584,0,0,0
1000000,200000,80,0.1,1,"Projection to 2/eps alphabet",3,4.92376,4.92927,4.97876,0,0,0
1000000,200000,80,0.1,2,"Sqrt",3,0.157984,0.158076,0.1606,0,0,0
1000000,200000,80,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,11.3353,11.2096,11.5993,0.0227309,0.0278918,0.0296814
1000000,200000,80,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.183,11.1338,11.3178,0.0248648,0.0280111,0.0285954
1000000,200000,80,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,11.0612,10.9925,11.2954,0.0217116,0.0179642,0.0387601
1000000,200000,160,0.1,0,"Brute force",3,14.3612,14.3758,14.4214,0,0,0
1000000,200000,160,0.1,1,"Projection to 2/eps alphabet",3,9.78449,9.73126,9.94793,0,0,0
1000000,200000,160,0.1,2,"Sqrt",3,0.107921,0.107613,0.108697,0,0,0
1000000,200000,160,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,10.9359,10.9355,11.0378,0.0283838,0.034911,0.0359307
1000000,200000,160,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.2006,11.1587,11.3571,0.0264623,0.0258515,0.0350603
1000000,200000,160,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,11.1676,11.1965,11.2463,0.038804,0.0404416,0.041013
1000000,200000,320,0.1,0,"Brute force",3,14.3836,14.3592,14.4613,0,0,0
1000000,200000,320,0.1,1,"Projection to 2/eps alphabet",3,12.2289,12.1718,12.3797,0.0472985,0.0474251,0.0475291
1000000,200000,320,0.1,2,"Sqrt",3,0.0988052,0.0989844,0.100989,0,0,0
1000000,200000,320,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,10.8571,10.8776,10.8821,0.0266516,0.0202072,0.0445697
1000000,200000,320,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.0239,10.9871,11.1195,0.0386458,0.0402501,0.0403329
