dataset,n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
MUC16_31m.in,31168785,14507,22,0.05,0,"Brute force",3,25.3774,25.3749,25.3864,0,0,0
MUC16_31m.in,31168785,14507,22,0.05,2,"Sqrt",3,8.07494,8.05756,8.11545,0,0,0
MUC16_31m.in,31168785,14507,22,0.05,3,"Projection to 2/eps alphabet",3,398.792,398.995,400.171,0.05,0.05,0.05
MUC16_31m.in,31168785,14507,22,0.05,4,"Projection to 2/eps alphabet with short circuit",3,351.828,349.2,357.791,0.05,0.05,0.05
MUC16_31m.in,31168785,14507,22,0.05,5,"Projection to 2/eps alphabet with magic short circuit",3,16.2926,16.2918,16.2982,0.0496029,0.0496851,0.05
MUC16_31m.in,31168785,14507,22,0.05,6,"Heuristic 1: TP score",3,210.372,210.394,210.415,0.0024231,0.00272319,0.00323031
MUC16_31m.in,31168785,14507,22,0.05,7,"Heuristic 1: TP score with magic short circuit",3,16.2121,16.2247,16.2405,0.00528346,0.0055054,0.00561176
MUC16_31m.in,31168785,14507,22,0.1,0,"Brute force",3,25.3821,25.3759,25.3976,0,0,0
MUC16_31m.in,31168785,14507,22,0.1,2,"Sqrt",3,8.04739,8.04753,8.04849,0,0,0
MUC16_31m.in,31168785,14507,22,0.1,3,"Projection to 2/eps alphabet",3,213.33,213.357,213.39,0.0877193,0.0877193,0.0877193
MUC16_31m.in,31168785,14507,22,0.1,4,"Projection to 2/eps alphabet with short circuit",3,82.455,76.7923,93.7918,0.0779447,0.0776676,0.0791957
MUC16_31m.in,31168785,14507,22,0.1,5,"Projection to 2/eps alphabet with magic short circuit",3,8.56736,8.56643,8.57581,0.06924,0.0701754,0.075406
MUC16_31m.in,31168785,14507,22,0.1,6,"Heuristic 1: TP score",3,110.799,110.859,110.882,0.0488484,0.0525734,0.052647
MUC16_31m.in,31168785,14507,22,0.1,7,"Heuristic 1: TP score with magic short circuit",3,8.54886,8.54342,8.56811,0.0520712,0.0551709,0.0571429
MUC16_31m.in,31168785,14507,22,0.2,0,"Brute force",3,25.4507,25.4429,25.5343,0,0,0
MUC16_31m.in,31168785,14507,22,0.2,2,"Sqrt",3,8.07442,8.07772,8.08449,0,0,0
MUC16_31m.in,31168785,14507,22,0.2,3,"Projection to 2/eps alphabet",3,116.492,116.493,116.494,0.132298,0.122807,0.157895
MUC16_31m.in,31168785,14507,22,0.2,4,"Projection to 2/eps alphabet with short circuit",3,32.611,32.5973,32.6474,0.112319,0.108215,0.122807
MUC16_31m.in,31168785,14507,22,0.2,5,"Projection to 2/eps alphabet with magic short circuit",3,4.68445,4.68492,4.68604,0.0790653,0.0783852,0.0957072
MUC16_31m.in,31168785,14507,22,0.2,6,"Heuristic 1: TP score",3,60.9055,60.9077,60.9205,0.122684,0.122857,0.123265
MUC16_31m.in,31168785,14507,22,0.2,7,"Heuristic 1: TP score with magic short circuit",3,4.70079,4.70051,4.70372,0.128656,0.130435,0.131961
MUC16_31m.in,31168785,14507,22,0.5,0,"Brute force",3,25.3703,25.3689,25.3732,0,0,0
MUC16_31m.in,31168785,14507,22,0.5,2,"Sqrt",3,8.0415,8.04059,8.04621,0,0,0
MUC16_31m.in,31168785,14507,22,0.5,3,"Projection to 2/eps alphabet",3,58.4757,58.459,58.5172,0.263158,0.263158,0.315789
MUC16_31m.in,31168785,14507,22,0.5,4,"Projection to 2/eps alphabet with short circuit",3,16.3217,16.3282,16.3386,0.153193,0.142427,0.17599
MUC16_31m.in,31168785,14507,22,0.5,5,"Projection to 2/eps alphabet with magic short circuit",3,2.36478,2.36588,2.36651,0.111981,0.120034,0.14633
MUC16_31m.in,31168785,14507,22,0.5,6,"Heuristic 1: TP score",3,30.9423,30.923,31.0102,0.293718,0.292683,0.29616
MUC16_31m.in,31168785,14507,22,0.5,7,"Heuristic 1: TP score with magic short circuit",3,2.40454,2.40253,2.41074,0.313847,0.311597,0.325163
