dataset,n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
nebulin_11m.in,11409987,8525,22,0.05,0,"Brute force",5,5.41255,5.41013,5.47189,0,0,0
nebulin_11m.in,11409987,8525,22,0.05,2,"Sqrt",5,1.97477,1.97204,1.99872,0,0,0
nebulin_11m.in,11409987,8525,22,0.05,3,"Projection to 2/eps alphabet",5,110.006,109.033,114.024,0.05,0.05,0.05
nebulin_11m.in,11409987,8525,22,0.05,4,"Projection to 2/eps alphabet with short circuit",5,48.5701,47.2229,51.5362,0.05,0.05,0.05
nebulin_11m.in,11409987,8525,22,0.05,5,"Projection to 2/eps alphabet with magic short circuit",5,4.74469,4.79395,4.83649,0.0496043,0.05,0.05
nebulin_11m.in,11409987,8525,22,0.05,6,"Heuristic 1: TP score",5,55.312,55.2083,55.8464,0.00591716,0.00518391,0.00966902
nebulin_11m.in,11409987,8525,22,0.05,7,"Heuristic 1: TP score with magic short circuit",5,4.65694,4.63201,4.71708,0.0113571,0.0143263,0.0162742
nebulin_11m.in,11409987,8525,22,0.1,0,"Brute force",5,5.60516,5.57486,5.69427,0,0,0
nebulin_11m.in,11409987,8525,22,0.1,2,"Sqrt",5,2.03342,2.03266,2.03872,0,0,0
nebulin_11m.in,11409987,8525,22,0.1,3,"Projection to 2/eps alphabet",5,58.7812,58.807,58.9651,0.0769139,0.0763726,0.0849512
nebulin_11m.in,11409987,8525,22,0.1,4,"Projection to 2/eps alphabet with short circuit",5,21.8643,21.894,22.0686,0.0778532,0.0771329,0.082888
nebulin_11m.in,11409987,8525,22,0.1,5,"Projection to 2/eps alphabet with magic short circuit",5,2.44817,2.41883,2.56937,0.0636873,0.0634056,0.0707221
nebulin_11m.in,11409987,8525,22,0.1,6,"Heuristic 1: TP score",5,29.4047,29.3776,29.7967,0.0494662,0.0485232,0.0526316
nebulin_11m.in,11409987,8525,22,0.1,7,"Heuristic 1: TP score with magic short circuit",5,2.43478,2.43279,2.44834,0.060919,0.0610658,0.0610658
nebulin_11m.in,11409987,8525,22,0.2,0,"Brute force",5,5.52452,5.51228,5.58294,0,0,0
nebulin_11m.in,11409987,8525,22,0.2,2,"Sqrt",5,2.03539,2.02757,2.0678,0,0,0
nebulin_11m.in,11409987,8525,22,0.2,3,"Projection to 2/eps alphabet",5,32.1635,32.2722,32.4138,0.0962212,0.0978571,0.102318
nebulin_11m.in,11409987,8525,22,0.2,4,"Projection to 2/eps alphabet with short circuit",5,10.6183,10.6115,10.6881,0.0905796,0.0887954,0.0982716
nebulin_11m.in,11409987,8525,22,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,1.33979,1.33545,1.36697,0.0834386,0.0813736,0.0930666
nebulin_11m.in,11409987,8525,22,0.2,6,"Heuristic 1: TP score",5,16.0541,16.0277,16.1986,0.125568,0.125992,0.12637
nebulin_11m.in,11409987,8525,22,0.2,7,"Heuristic 1: TP score with magic short circuit",5,1.34743,1.34408,1.36036,0.145319,0.14639,0.147597
nebulin_11m.in,11409987,8525,22,0.5,0,"Brute force",5,5.49802,5.4822,5.52712,0,0,0
nebulin_11m.in,11409987,8525,22,0.5,2,"Sqrt",5,2.03532,2.02605,2.07886,0,0,0
nebulin_11m.in,11409987,8525,22,0.5,3,"Projection to 2/eps alphabet",5,15.9794,15.9271,16.1473,0.136991,0.136414,0.156335
nebulin_11m.in,11409987,8525,22,0.5,4,"Projection to 2/eps alphabet with short circuit",5,2.67795,2.68147,2.69553,0.123117,0.125404,0.145099
nebulin_11m.in,11409987,8525,22,0.5,5,"Projection to 2/eps alphabet with magic short circuit",5,0.673627,0.673779,0.675199,0.101568,0.105447,0.112103
nebulin_11m.in,11409987,8525,22,0.5,6,"Heuristic 1: TP score",5,8.19535,8.2215,8.28892,0.300046,0.299527,0.302461
nebulin_11m.in,11409987,8525,22,0.5,7,"Heuristic 1: TP score with magic short circuit",5,0.688529,0.688193,0.690487,0.332862,0.333124,0.338454
