n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
1000000,20000,100,0.1,6,"Heuristic 1: TP score",5,2.26257,2.26528,2.26765,0.0124102,0.010101,0.02
1000000,20000,100,0.1,7,"Heuristic 1: TP score with magic short circuit",5,0.91281,0.908918,1.14405,0.1198,0.133,0.133
1000000,20000,100,0.2,0,"Brute force",5,1.80741,1.80738,1.83442,0,0,0
1000000,20000,100,0.2,2,"Sqrt",5,0.0790609,0.0789093,0.0796255,0,0,0
1000000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,2.47319,2.46619,2.50364,0.2,0.2,0.2
1000000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,2.28815,2.24323,2.42232,0.2,0.2,0.2
1000000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.231653,0.256138,0.260898,0.2,0.2,0.2
1000000,20000,100,0.2,6,"Heuristic 1: TP score",5,1.29691,1.27191,1.38149,0.0778367,0.0225,0.166667
1000000,20000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.532665,0.503488,1.0185,0.308667,0.333333,0.333333
1000000,20000,100,0.5,0,"Brute force",5,1.80373,1.80115,1.81252,0,0,0
1000000,20000,100,0.5,2,"Sqrt",5,0.0802541,0.0801296,0.0807647,0,0,0
1000000,20000,100,0.5,3,"Projection to 2/eps alphabet",5,1.2692,1.26857,1.2794,0.5,0.5,0.5
1000000,20000,100,0.5,4,"Projection to 2/eps alphabet with short circuit",5,1.11495,1.1149,1.11778,0.5,0.5,0.5
1000000,20000,100,0.5,5,"Projection to 2/eps alphabet with magic short circuit",5,0.264125,0.192073,0.376433,0.5,0.5,0.5
1000000,20000,100,0.5,6,"Heuristic 1: TP score",5,0.644079,0.643522,0.653585,0.21602,0.14005,0.5
1000000,20000,100,0.5,7,"Heuristic 1: TP score with magic short circuit",5,0.347862,0.385489,0.454492,0.47,0.5,0.5
