n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
1000000,400000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,1.0698,1.06284,1.34597,0.192,0.17,0.31
1000000,600000,100,0.2,0,"Brute force",5,21.7912,21.8128,21.9139,0,0,0
1000000,600000,100,0.2,2,"Sqrt",5,5.64571,5.6174,5.82311,0,0,0
1000000,600000,100,0.2,3,"Projection to 2/eps alphabet",5,6.77256,6.77183,6.81324,0.1304,0.128,0.14
1000000,600000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,5.45717,5.39081,5.6593,0.1352,0.14,0.14
1000000,600000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.350764,0.352815,0.356206,0.1056,0.104,0.128
1000000,600000,100,0.2,6,"Heuristic 1: TP score",5,3.47424,3.46549,3.53184,0.002,0,0.01
1000000,600000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,1.06056,1.0438,1.12417,0.206,0.18,0.31
1000000,500000,4,0.2,0,"Brute force",5,22.5389,22.4822,22.7769,0,0,0
1000000,500000,4,0.2,2,"Sqrt",5,0.185913,0.185688,0.192564,0,0,0
1000000,500000,4,0.2,3,"Projection to 2/eps alphabet",5,3.60819,3.59693,3.65591,0.2,0.2,0.2
1000000,500000,4,0.2,4,"Projection to 2/eps alphabet with short circuit",5,3.61509,3.61416,3.71291,0.2,0.2,0.2
1000000,500000,4,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.180746,0.179492,0.187575,0.2,0.2,0.2
1000000,500000,4,0.2,6,"Heuristic 1: TP score",5,1.80998,1.77841,1.87799,0,0,0
1000000,500000,4,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.179132,0.179355,0.179564,0,0,0
1000000,500000,10,0.2,0,"Brute force",5,22.5705,22.6196,22.8408,0,0,0
1000000,500000,10,0.2,2,"Sqrt",5,0.439967,0.439533,0.443303,0,0,0
