n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,avg_ratio,max_ratio
10000,2000,10,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0199103,0,0.0298343
10000,2000,10,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0199709,0,0
10000,2000,10,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0191524,0,0
10000,2000,10,0.5,0,"Brute Force",3,0.000942292,0,0
10000,2000,10,0.5,1,"Projection to Binary Alphabet",3,0.00899485,0.184317,0.1866
10000,2000,10,0.5,2,"Sqrt",3,0.000721458,0,0
10000,2000,10,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00777182,0.185795,0.18802
10000,2000,10,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00873569,0.185856,0.187154
10000,2000,10,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.012449,0.183552,0.188422
10000,5000,10,0.05,0,"Brute Force",3,0.00145221,0,0
10000,5000,10,0.05,1,"Projection to Binary Alphabet",3,0.0229717,0,0
10000,5000,10,0.05,2,"Sqrt",3,0.00178744,0,0
10000,5000,10,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.019634,0,0
10000,5000,10,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0202885,0,0.0254312
10000,5000,10,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0197848,0,0
10000,5000,10,0.1,0,"Brute Force",3,0.00146332,0,0
10000,5000,10,0.1,1,"Projection to Binary Alphabet",3,0.0229722,0,0
10000,5000,10,0.1,2,"Sqrt",3,0.00173083,0,0
10000,5000,10,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.019356,0,0
10000,5000,10,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0201201,0,0
10000,5000,10,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.019257,0,0
10000,5000,10,0.2,0,"Brute Force",3,0.001429,0,0
10000,5000,10,0.2,1,"Projection to Binary Alphabet",3,0.0224207,0,0
10000,5000,10,0.2,2,"Sqrt",3,0.00174617,0,0
10000,5000,10,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0194761,0,0
10000,5000,10,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0206354,0.00782648,0.0234794
10000,5000,10,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0196852,0.00831477,0.0249443
10000,5000,10,0.5,0,"Brute Force",3,0.0014255,0,0
10000,5000,10,0.5,1,"Projection to Binary Alphabet",3,0.00935663,0.181144,0.18224
10000,5000,10,0.5,2,"Sqrt",3,0.00181226,0,0
10000,5000,10,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00791004,0.182228,0.183011
10000,5000,10,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0086559,0.182588,0.184848
