dataset,n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
titin_31m.in,31168785,34350,22,0.05,0,"Brute force",3,96.4635,96.4479,96.5082,0,0,0
titin_31m.in,31168785,34350,22,0.05,2,"Sqrt",3,10.1301,10.1083,10.1981,0,0,0
titin_31m.in,31168785,34350,22,0.05,3,"Projection to 2/eps alphabet",3,338.972,338.989,339.249,0.05,0.05,0.05
titin_31m.in,31168785,34350,22,0.05,4,"Projection to 2/eps alphabet with short circuit",3,153.593,149.096,162.607,0.05,0.05,0.05
titin_31m.in,31168785,34350,22,0.05,5,"Projection to 2/eps alphabet with magic short circuit",3,13.601,13.6006,13.6033,0.0498138,0.0497582,0.05
titin_31m.in,31168785,34350,22,0.05,6,"Heuristic 1: TP score",3,175.28,175.246,175.424,0.00317728,0.00286922,0.00446883
titin_31m.in,31168785,34350,22,0.05,7,"Heuristic 1: TP score with magic short circuit",3,13.5022,13.5011,13.5157,0.0055587,0.00673496,0.00787108
titin_31m.in,31168785,34350,22,0.1,0,"Brute force",3,96.5968,96.5662,96.6894,0,0,0
titin_31m.in,31168785,34350,22,0.1,2,"Sqrt",3,10.096,10.0956,10.105,0,0,0
titin_31m.in,31168785,34350,22,0.1,3,"Projection to 2/eps alphabet",3,177.791,177.778,177.843,0.070758,0.0724303,0.0724593
titin_31m.in,31168785,34350,22,0.1,4,"Projection to 2/eps alphabet with short circuit",3,61.5277,63.8523,63.8981,0.0698039,0.0677934,0.0749144
titin_31m.in,31168785,34350,22,0.1,5,"Projection to 2/eps alphabet with magic short circuit",3,7.1357,7.13839,7.14217,0.0543405,0.0543934,0.060891
titin_31m.in,31168785,34350,22,0.1,6,"Heuristic 1: TP score",3,92.1963,92.1383,92.3141,0.0490561,0.0485659,0.0510803
titin_31m.in,31168785,34350,22,0.1,7,"Heuristic 1: TP score with magic short circuit",3,7.12615,7.11668,7.17143,0.0520303,0.0516185,0.0604787
titin_31m.in,31168785,34350,22,0.2,0,"Brute force",3,96.6586,96.6301,96.8622,0,0,0
titin_31m.in,31168785,34350,22,0.2,2,"Sqrt",3,10.0909,10.0856,10.1015,0,0,0
titin_31m.in,31168785,34350,22,0.2,3,"Projection to 2/eps alphabet",3,96.7698,96.9803,97.1382,0.084726,0.0846034,0.0898796
titin_31m.in,31168785,34350,22,0.2,4,"Projection to 2/eps alphabet with short circuit",3,31.0413,31.031,31.0714,0.0775497,0.0774304,0.0781495
titin_31m.in,31168785,34350,22,0.2,5,"Projection to 2/eps alphabet with magic short circuit",3,3.91591,3.91268,3.92538,0.0704064,0.0732243,0.0794406
titin_31m.in,31168785,34350,22,0.2,6,"Heuristic 1: TP score",3,50.8174,50.8132,50.8744,0.122723,0.123063,0.123839
titin_31m.in,31168785,34350,22,0.2,7,"Heuristic 1: TP score with magic short circuit",3,3.96014,3.9438,4.00559,0.128325,0.129853,0.130507
titin_31m.in,31168785,34350,22,0.5,0,"Brute force",3,96.5566,96.5266,96.6212,0,0,0
titin_31m.in,31168785,34350,22,0.5,2,"Sqrt",3,10.0974,10.0923,10.1088,0,0,0
titin_31m.in,31168785,34350,22,0.5,3,"Projection to 2/eps alphabet",3,48.7173,48.7179,48.7208,0.10675,0.104857,0.118333
titin_31m.in,31168785,34350,22,0.5,4,"Projection to 2/eps alphabet with short circuit",3,13.6122,13.612,13.6227,0.0958606,0.0957394,0.0995906
titin_31m.in,31168785,34350,22,0.5,5,"Projection to 2/eps alphabet with magic short circuit",3,1.98177,1.98203,1.98338,0.0824804,0.0881502,0.0940642
titin_31m.in,31168785,34350,22,0.5,6,"Heuristic 1: TP score",3,25.925,25.9252,25.9502,0.296416,0.296395,0.297022
titin_31m.in,31168785,34350,22,0.5,7,"Heuristic 1: TP score with magic short circuit",3,2.01901,2.01986,2.02469,0.317401,0.318563,0.319887
